
KUOW Public Radio,2016-08-07,26688,414,5402,1,4,0,0,0,0,0,0 
KUOW Public Radio,2016-08-07,26688,414,5402,41,32,0,0,0,1,0,35 
KUOW Public Radio,2016-08-07,26688,414,5402,41,12,3,0,0,2,0,0 
KUOW Public Radio,2016-08-07,26688,414,5402,8,15,2,6,1,1,0,31 
KUOW Public Radio,2016-08-06,26688,414,5402,8,1,0,0,0,0,0,0 
KUOW Public Radio,2016-08-06,26688,414,5402,8,35,2,0,3,0,0,0 
KUOW Public Radio,2016-08-06,26688,414,5402,1,14,1,1,2,1,0,6 
KUOW Public Radio,2016-08-06,26688,414,5402,9,12,0,0,0,4,0,2 
KUOW Public Radio,2016-08-06,26688,414,5402,10,29,2,1,9,1,0,0 
KUOW Public Radio,2016-08-06,26688,414,5402,10,38,0,0,0,1,0,0 
KUOW Public Radio,2016-08-05,26688,414,5402,1,8,0,0,0,0,0,0 
KUOW Public Radio,2016-08-05,26688,414,5402,49,100,22,0,0,0,0,0 
KUOW Public Radio,2016-08-05,26688,414,5402,2,9,1,0,0,0,0,0 
KUOW Public Radio,2016-08-05,26688,414,5402,1,4,0,0,0,0,0,0 
KUOW Public Radio,2016-08-05,26688,414,5402,231,498,59,13,78,2,0,9 
KUOW Public Radio,2016-08-05,26688,414,5402,1,11,0,0,0,0,0,0 
KUOW Public Radio,2016-08-05,26688,414,5402,11,54,5,0,0,0,0,0 
KUOW Public Radio,2016-08-05,26688,414,5402,119,165,30,0,0,0,0,0 
KUOW Public Radio,2016-08-05,26688,414,5402,1,1,0,0,0,0,0,0 
KUOW Public Radio,2016-08-04,26688,414,5402,1,4,0,0,0,0,0,1 
KUOW Public Radio,2016-08-04,26688,414,5402,32,64,5,1,0,0,0,0 
KUOW Public Radio,2016-08-04,26688,414,5402,7,9,0,0,2,0,0,0 
KUOW Public Radio,2016-08-04,26688,414,5402,2,6,1,0,0,0,0,0 
KUOW Public Radio,2016-08-04,26688,414,5402,1,7,0,0,0,0,0,0 
KUOW Public Radio,2016-08-04,26688,414,5402,19,14,1,4,12,2,0,17 
KUOW Public Radio,2016-08-04,26688,414,5402,26,52,6,0,0,0,0,1 
KUOW Public Radio,2016-08-04,26688,414,5402,21,42,0,4,2,1,0,2 
KUOW Public Radio,2016-08-03,26688,414,5402,21,3,0,0,0,0,0,0 
KUOW Public Radio,2016-08-03,26688,414,5402,21,12,0,0,0,0,0,0 
KUOW Public Radio,2016-08-03,26688,414,5402,21,80,9,0,0,0,0,0 
KUOW Public Radio,2016-08-03,26688,414,5402,1,57,4,0,0,0,0,0 
KUOW Public Radio,2016-08-03,26688,414,5402,8,1,0,0,0,6,0,8 
KUOW Public Radio,2016-08-03,26688,414,5402,3,5,0,0,0,0,0,0 
KUOW Public Radio,2016-08-03,26688,414,5402,5,41,0,0,0,0,0,0 
